Player,PTS,AST,ORB,DRB,STL,BLK,TOV,FGA,3PA,FTA,eFG%,FG%,3P%,FT%,G,MP,TS%,USG%,AST%,ORB%,DRB%,STL%,BLK%,TOV%,3PAr,FTr,OBPM,DBPM,0-3 % of FGA,10-16 % of FGA,3P % of FGA,0-3 FG%,10-16 FG%,% of 2P Ast’d,% of 3P Ast’d,Dunks %FGA,3PA% Corner
Vince Williams Jr.,16.7,5.1,2.0,7.1,1.1,0.7,3.1,15.6,8.9,2.2,0.479,0.401,0.274,0.792,27,499,0.504,17.0,13.8,4.7,15.9,1.1,1.3,15.7,0.569,0.144,-2.5,-0.3,0.144,0.066,0.569,0.625,0.545,0.61,0.923,0.012,0.284
A.J. Lawson,23.4,3.1,2.0,6.5,1.3,0.6,1.5,18.8,10.0,6.2,0.508,0.421,0.327,0.683,26,486,0.542,20.0,9.1,4.3,14.9,1.3,1.2,6.4,0.532,0.332,-1.5,-1.0,0.289,0.011,0.532,0.618,0.0,0.638,0.939,0.074,0.347
Grant Williams,17.0,3.8,1.8,6.6,1.8,1.3,2.9,12.6,7.6,3.8,0.549,0.439,0.365,0.838,16,479,0.596,14.8,11.3,3.9,14.5,1.8,2.7,16.7,0.602,0.301,-2.3,0.7,0.154,0.057,0.602,0.737,0.143,0.815,1.0,0.024,0.203
Lonnie Walker IV,25.5,5.2,0.6,5.9,1.0,0.5,2.6,21.9,13.1,3.1,0.526,0.42,0.354,0.8,20,477,0.548,22.8,16.5,1.4,14.1,1.0,1.0,10.0,0.599,0.142,0.0,-2.4,0.165,0.061,0.599,0.686,0.462,0.591,0.778,0.028,0.142
Larry Nance Jr.,20.5,3.8,2.3,8.1,2.0,1.3,1.6,15.7,7.7,1.3,0.626,0.516,0.447,0.692,24,463,0.632,15.7,11.3,5.3,19.4,2.0,2.6,9.1,0.49,0.084,1.1,0.7,0.239,0.045,0.49,0.703,0.571,0.848,0.971,0.135,0.342
GG Jackson II,21.2,2.9,2.7,6.6,1.2,0.5,3.1,20.2,9.6,4.1,0.452,0.372,0.337,0.725,29,459,0.482,21.7,8.2,6.3,14.8,1.2,1.0,12.5,0.477,0.201,-3.3,-2.0,0.236,0.025,0.477,0.553,0.2,0.476,0.938,0.085,0.284
Dante Exum,22.6,7.3,0.5,3.8,1.6,0.4,2.9,17.4,6.9,4.0,0.563,0.478,0.434,0.742,20,372,0.589,19.6,21.5,1.2,8.3,1.6,0.7,13.0,0.396,0.231,-1.2,-1.1,0.261,0.075,0.396,0.657,0.3,0.415,0.913,0.03,0.321
Damion Baugh,14.5,7.4,1.9,4.8,2.0,0.3,4.1,17.3,7.4,2.0,0.369,0.323,0.214,0.867,15,370,0.399,19.3,22.2,3.9,10.6,2.0,0.5,18.5,0.431,0.115,-5.9,-1.2,0.208,0.031,0.431,0.63,0.25,0.433,1.0,0.008,0.339
Robert Williams,16.1,2.9,4.8,11.5,1.8,4.6,2.4,10.8,0.4,2.4,0.647,0.641,0.333,0.882,20,351,0.679,12.2,8.6,10.5,26.3,1.8,8.5,16.6,0.038,0.218,-0.1,3.2,0.705,0.026,0.038,0.8,0.5,0.755,1.0,0.385,0.667
Keion Brooks Jr.,20.7,1.9,1.8,6.7,1.5,1.5,1.8,15.9,6.3,4.4,0.55,0.486,0.326,0.733,14,332,0.581,17.1,5.7,3.8,15.4,1.5,2.9,8.9,0.394,0.275,-2.2,-1.3,0.275,0.11,0.394,0.8,0.5,0.718,1.0,0.092,0.395
Tre Mann,28.2,6.0,1.8,4.0,1.1,0.6,3.9,24.8,9.2,3.2,0.509,0.435,0.4,0.905,13,319,0.537,26.0,21.2,3.9,8.9,1.1,1.2,12.8,0.373,0.13,-0.6,-1.9,0.273,0.099,0.373,0.455,0.375,0.174,0.542,0.006,0.217
